,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
22,0.001494598388671875,0.0004974996093995378,0.0011981964111328126,0.00040179843859304104,kd_tree,7,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8184166127811586,0.8405145261748035,0.7980814313962308,0.8406068300372721,0.8500023001873973,0.7769271021657571,0.8665054754664974,0.7593512980460215,0.7752012235283992,0.8253200762146263,0.8150926875998165,0.034233421197534294,3
23,0.0012965917587280274,0.00045716825706507933,0.001695394515991211,0.0004570589999593773,kd_tree,7,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.813692631758592,0.8424926319842005,0.7756090291070875,0.8321780313956308,0.86076843392689,0.7946081449604229,0.874356083173732,0.7580705523339292,0.7727892185736259,0.8233098963121467,0.8147874653526259,0.03705310247280166,6
24,0.0004987955093383789,0.0004987955252929703,0.002277970314025879,0.0006232661798622681,brute,3,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.8004668291302137,0.8342217306600934,0.7227085573993208,0.8000124424179887,0.8395963772395131,0.7712530810760982,0.8532574478404864,0.7083374134270487,0.7436598527414258,0.8144763245525495,0.7887990056484738,0.04786137212804617,32
25,0.00039904117584228517,0.0004887236495795252,0.002293682098388672,0.0004571526791045399,brute,3,1,distance,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7919566643638496,0.83940833274102,0.7289042292455599,0.7803149210124046,0.8446354896536847,0.7752642505523346,0.8544656918059435,0.7259960656296769,0.7365710971295251,0.8017899922036648,0.7879306734337664,0.04547179825877229,35
26,0.0006980419158935547,0.00045697580028309737,0.0032911062240600585,0.0006382718689507718,brute,3,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8107098301389951,0.839068804227138,0.7364389510119982,0.8030508957923401,0.8564496378681961,0.7847415493779055,0.8682436506128317,0.7392227044976112,0.7535398057215198,0.8129573663556441,0.8004423195604179,0.044480704576992686,27
27,0.0004985570907592773,0.0004985571751310116,0.0033895254135131838,0.0006624135238875185,brute,3,2,distance,"{'algorithm': 'brute', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8013842297935152,0.8448223858934415,0.7283947857267667,0.7862220211893964,0.8626926323798755,0.7880789019916732,0.8687143816991664,0.7482522683106658,0.7430573619983204,0.8048160720738196,0.7976435041056641,0.046915032072956796,30
28,0.00039904117584228517,0.0004887236495795252,0.003391003608703613,0.0004881018728454915,brute,5,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8128717405811086,0.8275284626307609,0.7716589540005365,0.8283212454469522,0.8381161422440845,0.7578870602313581,0.8573703695749573,0.7303890693767684,0.7702833111998154,0.8361890583914602,0.8030615413677802,0.039988980907720184,23
29,0.0004987239837646485,0.0004987240247966233,0.0032910585403442385,0.000457105959447286,brute,5,1,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8046568619116523,0.8398074330674938,0.7586858460795086,0.8120984639634314,0.8469252641572182,0.7783585456971175,0.864737603538655,0.7376200229129689,0.7639036154198863,0.826714744162975,0.8033508400910907,0.040145295229815955,19
30,9.970664978027343e-05,0.00029911994934082035,0.00418860912322998,0.00039901750849602387,brute,5,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8126108477175997,0.8303192912153927,0.7737988853222019,0.8334491908657833,0.854656028038111,0.7896628691086814,0.8610594169080765,0.763884499384262,0.7687757534258661,0.8317392579017721,0.8119956039887747,0.03399080471166307,9
31,0.0003989696502685547,0.0004886360853561638,0.0037899017333984375,0.000399172429773563,brute,5,2,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.810353206092902,0.8378850060006248,0.7563027974348184,0.8197440231601378,0.8635116576245205,0.7984618705682061,0.8687290018026987,0.7648363868088014,0.7636572174638085,0.8252053063188309,0.8108686473275348,0.038226714164644855,12
32,0.0005985498428344727,0.0004887139399291957,0.0036899566650390623,0.0007789842525581457,brute,7,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8184467736161489,0.8250047767487015,0.8006194314784376,0.8447280399125332,0.847228654577864,0.7609889982851215,0.852391750915517,0.7511621170488791,0.7773179895505906,0.8205135227649404,0.8098402054898735,0.034374298223340365,16
33,0.000598454475402832,0.0004886361231636672,0.004587841033935547,0.000798112237136784,brute,7,1,distance,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8111770659671695,0.8370129551691552,0.7794703861770593,0.8289527649700271,0.8571265890661952,0.7794303557929584,0.8674773724004773,0.753409167396606,0.7726583353896639,0.8205236143434905,0.8107238606672803,0.036309565819879305,13
34,0.0003990888595581055,0.0004887822592968489,0.004387950897216797,0.0004884902545904022,brute,7,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8182224050026594,0.8405145261748035,0.7980814313962308,0.8406068300372721,0.8507232086644834,0.7769273610966332,0.8665054754664974,0.7593512980460215,0.7752012235283992,0.8255674116216385,0.8151701171034638,0.03431313385477612,2
35,0.0003991127014160156,0.0004888112806821458,0.003989815711975098,0.0006318464920466803,brute,7,2,distance,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8136112422710784,0.8424926319842005,0.775609029107088,0.8321780321412982,0.8612315924654362,0.7946082681877662,0.8743560831737308,0.7580705523339294,0.7727892742133148,0.8235307524483297,0.8148477458326171,0.037116146920880104,5
